actual, predicted, error
7,6.85389844153,0.146101558466
7,7.11916054212,0.119160542124
6,6.29542197336,0.295421973361
5,5.49546638725,0.49546638725
7,6.92927333321,0.0707266667854
7,6.57190580994,0.42809419006
7,6.56330360812,0.436696391884
6,5.985326146,0.0146738540015
7,6.84037010204,0.159629897958
5,5.49546638725,0.49546638725
6,6.00527900453,0.00527900452721
6,6.32099976455,0.320999764553
7,6.44109758083,0.558902419168
6,6.43448837406,0.434488374061
6,6.79039947628,0.790399476276
6,6.94186926448,0.941869264476
7,6.67323804491,0.326761955088
7,7.02360540561,0.0236054056066
7,7.02902635494,0.0290263549434
5,6.19324751155,1.19324751155
7,7.0142942062,0.0142942062049
5,5.70155141039,0.70155141039
7,6.55373319359,0.446266806407
5,5.52129529698,0.521295296976
5,5.70155141039,0.70155141039
6,6.38033884629,0.380338846295
6,6.38033884629,0.380338846295
6,6.3795708407,0.379570840698
6,5.65559186654,0.344408133457
4,5.10497009423,1.10497009423
7,6.73625819097,0.263741809026
5,5.57829427617,0.578294276174
5,5.48819376922,0.488193769219
6,6.56990803643,0.569908036433
6,6.17969167879,0.179691678789
5,5.57829427617,0.578294276174
5,5.48819376922,0.488193769219
6,5.97491009087,0.0250899091326
5,5.69703164779,0.697031647791
7,6.70379362187,0.296206378129
6,6.54573894894,0.545738948945
6,6.69009475228,0.690094752276
6,6.18350881332,0.183508813321
6,5.69351893863,0.306481061366
6,6.12692055093,0.126920550933
6,6.12692055093,0.126920550933
6,5.92623585886,0.0737641411422
6,5.69351893863,0.306481061366
6,5.95834460097,0.0416553990286
6,6.39170107845,0.391701078452
6,6.12692055093,0.126920550933
6,6.00730357272,0.0073035727153
6,5.8192638187,0.180736181303
6,5.8192638187,0.180736181303
6,5.8192638187,0.180736181303
6,6.09856825555,0.0985682555504
6,5.96814868813,0.0318513118711
7,7.01874371316,0.018743713159
6,6.09856825555,0.0985682555504
6,5.8192638187,0.180736181303
4,6.05639303947,2.05639303947
6,6.24814241398,0.248142413979
5,4.72077849736,0.279221502642
6,6.31691228836,0.316912288356
5,4.72077849736,0.279221502642
6,6.24814241398,0.248142413979
6,6.11019665085,0.11019665085
6,6.2851970136,0.285197013595
6,6.29825324371,0.298253243715
7,6.48661829626,0.51338170374
6,6.11019665085,0.11019665085
6,6.29825324371,0.298253243715
4,5.28170886545,1.28170886545
6,6.2851970136,0.285197013595
6,6.19515497768,0.195154977677
6,5.66265931257,0.337340687432
7,6.18053472068,0.819465279324
5,6.21813930368,1.21813930368
7,6.29712382933,0.702876170668
4,5.92171039914,1.92171039914
7,6.17849586486,0.821504135143
5,5.98919926286,0.989199262861
7,6.77734128059,0.222658719412
6,6.4351671899,0.435167189905
6,5.77041268316,0.229587316843
7,6.17849586486,0.821504135143
7,6.38769520396,0.612304796042
7,6.20717169251,0.792828307487
6,5.84001503109,0.159984968908
6,5.84001503109,0.159984968908
6,5.84001503109,0.159984968908
7,6.77027733879,0.229722661208
5,5.86425228985,0.864252289851
7,6.17136632036,0.828633679642
7,6.19834031975,0.801659680251
7,6.24319528819,0.75680471181
7,6.64620640949,0.353793590513
7,6.67687869054,0.323121309458
6,6.41255489923,0.412554899227
7,7.04740346842,0.0474034684211
6,5.34853527085,0.65146472915
6,6.0798960123,0.0798960122975
7,5.81407130967,1.18592869033
6,5.98028392829,0.0197160717115
7,6.8306134309,0.169386569101
6,6.34772916902,0.347729169025
5,5.26416901228,0.264169012281
5,5.25583212872,0.25583212872
6,6.36071149389,0.360711493889
6,5.59077614743,0.409223852567
6,5.59077614743,0.409223852567
5,5.26416901228,0.264169012281
6,6.36071149389,0.360711493889
6,6.18134411167,0.18134411167
6,5.59077614743,0.409223852567
5,5.25583212872,0.25583212872
6,6.40984155731,0.409841557312
5,5.48666876468,0.486668764684
5,6.17208698086,1.17208698086
7,5.85485649364,1.14514350636
6,5.69812375579,0.301876244206
7,6.58495039924,0.415049600762
7,5.85485649364,1.14514350636
6,6.40984155731,0.409841557312
6,5.69812375579,0.301876244206
7,6.53744894124,0.462551058764
5,5.48666876468,0.486668764684
5,6.17208698086,1.17208698086
5,5.48526370573,0.485263705729
6,5.42637569988,0.573624300125
6,5.51091239107,0.489087608932
6,5.89234563495,0.107654365047
6,5.89234563495,0.107654365047
6,5.66196967789,0.338030322114
6,5.89234563495,0.107654365047
7,6.08354134449,0.91645865551
6,6.15257329472,0.152573294724
7,6.35423013876,0.645769861245
7,5.78589948306,1.21410051694
7,6.79789927318,0.202100726824
